LocationID,ApogeeID
698,5127,2M08313306+0010083
699,2300,2M08334137+4518261
700,2300,2M08341426+4538096
701,4534,2M08350016+1610061
702,2299,2M08352765+5442567
703,4534,2M08370307+1435433
704,5115,2M08405390+1208167
705,5115,2M08412291+1215234
706,5115,2M08413172+1238565
707,5115,2M08415731+1223579
708,2101,2M08422035+5341149
709,5115,2M08423210+1107222
710,5115,2M08423671+1134412
711,5115,2M08434211+1146573
712,5115,2M08434285+1234382
713,5115,2M08434597+1149016
714,5115,2M08442047+1116116
715,5115,2M08443371+1106033
716,5115,2M08444019+1044454
717,5115,2M08451142+1123372
718,5115,2M08452498+1311138
719,5115,2M08454939+1125519
720,4162,2M08455211+1157558
721,4267,2M08460130-1509051
722,5115,2M08470659+1134580
723,4162,2M08472585+1225091
724,4162,2M08490965+1148267
725,5115,2M08492553+1116449
726,2296,2M08494022+5509176
727,4267,2M08495593-1455048
728,2284,2M08502047+5723426
729,4162,2M08502698+1148313
730,5115,2M08503700+1154047
731,4162,2M08504952+1217158
732,5115,2M08510212+1149012
733,4162,2M08510576+1143469
734,4162,2M08510890+1148377
735,5115,2M08511901+1150057
736,4162,2M08512515+1214495
737,4162,2M08512530+1202563
738,5115,2M08512940+1154138
739,2296,2M08514058+5546490
740,2284,2M08520195+5816218
741,4162,2M08532217+1241133
742,2284,2M08533311+5647239
743,2284,2M08534213+5853052
744,4162,2M08534367+1050113
745,2284,2M08540716+5611488
746,4162,2M08542737+1038542
747,4535,2M08554987+0430058
748,4162,2M08560338+1219472
749,2284,2M08562557+5641120
750,2105,2M09011639+4154421
751,2105,2M09014952+4328007
752,2105,2M09021390+4310161
753,4206,2M09050701+3813502
754,2103,2M09070341+4422319
755,2284,2M09072886+5750452
756,4206,2M09073971+3841092
757,2103,2M09082078+4601286
758,5116,2M09090798+2247413
759,2105,2M09093293+4245012
760,5116,2M09104328+2321270
761,2103,2M09111215+4424367
762,5116,2M09112272+2112330
763,5116,2M09112850+2223427
764,5116,2M09115608+2158076
765,5116,2M09130726+2146121
766,5116,2M09130817+2337099
767,5116,2M09135509+2055246
